SchoolID,SchoolName,LowestGrade,HighestGrade,Address,City,State,Zip5,County,Phone
A0103186,123 YOU N ME PRESCHOOL,2,3,809 W DETWEILLER DR STE A,PEORIA,IL,61615,PEORIA,3096923470
BB000456,A MOTHER'S TOUCH CREATIVE LEARNING CENTER,2,10,125 N DRYDEN AVE,ARLINGTON HEIGHTS,IL,60004,COOK,8475777600
A0971034,A MOTHERS TOUCH LEARNING ACADEMY,2,3,1666 RAND RD,DES PLAINES,IL,60016,COOK,8478135039
A0301317,A VILLAGE GREEN MONTESSORI,2,3,125 W CHURCH ST,LIBERTYVILLE,IL,60048,LAKE,8472819911
BB140399,AAA ACADEMY,6,13,13801 CHATHAM ST,BLUE ISLAND,IL,60406,COOK,7082060000
BB021012,ABC ACADEMY,2,4,2714 W PRATT BLVD,CHICAGO,IL,60645,COOK,7733381033
BB911554,ACACIA ACADEMY,9,17,6438 JOLIET RD STE 204,COUNTRYSIDE,IL,60525,COOK,7086394222
BB180972,ACADEMIC MASTERY ACADEMY,6,6,16341 S PARK AVE,SOUTH HOLLAND,IL,60473,COOK,7085661600
A1701431,ACADEMY OF SCHOLASTIC ACHIEVEMENT,15,17,4651 W MADISON ST,CHICAGO,IL,60644,COOK,7739211315
00339778,ACADEMY OF ST BENEDICT THE AFRICAN,2,13,6020 S LAFLIN ST,CHICAGO,IL,60636,COOK,7737763316
A9102302,ACARATH MONTESSORI CENTER,2,6,22 KRISTIN DR,SCHAUMBURG,IL,60195,COOK,8473970111
A1501536,AGAPE CHRISTIAN HIGH SCHOOL,14,17,5208 MEADOWLAND PKWY # A,MARION,IL,62959,WILLIAMSON,6189979302
00351729,AKIBA-SCHECHTER JEWISH DAY SCHOOL,2,13,5235 S CORNELL AVE,CHICAGO,IL,60615,COOK,7734938880
A0901408,AL-HUDA ACADEMY,2,11,7455 JENSEN BLVD,HANOVER PARK,IL,60133,COOK,6302703130
A9303014,ALCUIN MONTESSORI SCHOOL,2,13,324 N OAK PARK AVE,OAK PARK,IL,60302,COOK,7083661882
A0501509,ALETHEIA SCHOOL,2,12,7229 N KNOXVILLE AVE,PEORIA,IL,61614,PEORIA,3096359809
A0901409,ALEXANDER GRAHAM BELL MONTESSORI SCHOOL,2,11,9300 CAPITOL DR,WHEELING,IL,60090,COOK,8478505490
A0700816,ALL ABOUT KIDS MONTESSORI SCHOOL,2,3,485 N COMMONS DR,AURORA,IL,60504,DUPAGE,6308201760
A9701372,ALL DAY MONTESSORI,2,3,1819 W 99TH ST,CHICAGO,IL,60643,COOK,7732398248
A9102306,ALL SAINTS ACADEMY,2,13,295 N CLINTON ST,BREESE,IL,62230,CLINTON,6185264323
