SchoolID,SchoolName,LowestGrade,HighestGrade,Address,City,State,Zip5,County,Phone,SchoolDays,HoursInSchoolDay,HasLibrary,PreSchoolEnrollment,KindergartenEnrollment,Grade1Enrollment,Grade2Enrollment,Grade3Enrollment,Grade4Enrollment,Grade5Enrollment,Grade6Enrollment,Grade7Enrollment,Grade8Enrollment,Grade9Enrollment,Grade10Enrollment,Grade11Enrollment,Grade12Enrollment,TotalEnrollment,FullTimeTeacherCount,StudentTeacherRatio
A0103186,123 YOU N ME PRESCHOOL,2,3,809 W DETWEILLER DR STE A,PEORIA,IL,61615,PEORIA,3096923470,250,7,Yes,30,5,,,,,,,,,,,,,35,3,1.66
BB000456,A MOTHER'S TOUCH CREATIVE LEARNING CENTER,2,10,125 N DRYDEN AVE,ARLINGTON HEIGHTS,IL,60004,COOK,8475777600,255,6,No,32,24,8,,2,2,2,,,,,,,,70,2.9,13.1
A0971034,A MOTHERS TOUCH LEARNING ACADEMY,2,3,1666 RAND RD,DES PLAINES,IL,60016,COOK,8478135039,254,6,No,93,8,,,,,,,,,,,,,101,1,8
A0301317,A VILLAGE GREEN MONTESSORI,2,3,125 W CHURCH ST,LIBERTYVILLE,IL,60048,LAKE,8472819911,180,7,No,100,6,,,,,,,,,,,,,106,4,1.5
BB140399,AAA ACADEMY,6,13,13801 CHATHAM ST,BLUE ISLAND,IL,60406,COOK,7082060000,179,6.5,Yes,,,2,2,7,3,5,7,4,17,,,,,47,9,5.22
BB021012,ABC ACADEMY,2,4,2714 W PRATT BLVD,CHICAGO,IL,60645,COOK,7733381033,180,6,No,40,4,,,,,,,,,,,,,44,1,4
BB911554,ACACIA ACADEMY,9,17,6438 JOLIET RD STE 204,COUNTRYSIDE,IL,60525,COOK,7086394222,180,6.75,No,,,,,,1,5,6,6,14,6,27,24,11,100,13,7.69
BB180972,ACADEMIC MASTERY ACADEMY,6,6,16341 S PARK AVE,SOUTH HOLLAND,IL,60473,COOK,7085661600,175,6.33,Yes,,,2,,,,,,,,,,,,2,1,2
A1701431,ACADEMY OF SCHOLASTIC ACHIEVEMENT,15,17,4651 W MADISON ST,CHICAGO,IL,60644,COOK,7739211315,182,6.83,No,,,,,,,,,,,,38,82,36,156,7.9,19.74
00339778,ACADEMY OF ST BENEDICT THE AFRICAN,2,13,6020 S LAFLIN ST,CHICAGO,IL,60636,COOK,7737763316,185,7.5,No,40,26,25,30,20,28,26,16,17,16,,,,,244,11.9,17.14
A9102302,ACARATH MONTESSORI CENTER,2,6,22 KRISTIN DR,SCHAUMBURG,IL,60195,COOK,8473970111,183,6.5,No,85,27,6,,,,,,,,,,,,118,3.3,10
A1501536,AGAPE CHRISTIAN HIGH SCHOOL,14,17,5208 MEADOWLAND PKWY # A,MARION,IL,62959,WILLIAMSON,6189979302,176,7,,,,,,,,,,,,19,9,15,8,51,7.8,6.53
00351729,AKIBA-SCHECHTER JEWISH DAY SCHOOL,2,13,5235 S CORNELL AVE,CHICAGO,IL,60615,COOK,7734938880,175,7,Yes,102,20,18,17,20,14,24,18,15,15,,,,,263,25.3,6.36
A0901408,AL-HUDA ACADEMY,2,11,7455 JENSEN BLVD,HANOVER PARK,IL,60133,COOK,6302703130,186,8,Yes,25,15,16,10,9,6,7,6,,,,,,,94,15.3,4.5
A9303014,ALCUIN MONTESSORI SCHOOL,2,13,324 N OAK PARK AVE,OAK PARK,IL,60302,COOK,7083661882,173,5.25,No,64,19,11,10,8,5,9,9,11,7,,,,,153,8,11.12
A0501509,ALETHEIA SCHOOL,2,12,7229 N KNOXVILLE AVE,PEORIA,IL,61614,PEORIA,3096359809,160,6.5,Yes,16,12,8,8,7,4,6,,3,,,,,,64,7.8,6.15
A0901409,ALEXANDER GRAHAM BELL MONTESSORI SCHOOL,2,11,9300 CAPITOL DR,WHEELING,IL,60090,COOK,8478505490,176,6,Yes,35,18,6,7,5,4,3,2,,,,,,,83,7.9,6.07
A0700816,ALL ABOUT KIDS MONTESSORI SCHOOL,2,3,485 N COMMONS DR,AURORA,IL,60504,DUPAGE,6308201760,180,7,Yes,15,8,,,,,,,,,,,,,23,1.6,5
A9701372,ALL DAY MONTESSORI,2,3,1819 W 99TH ST,CHICAGO,IL,60643,COOK,7732398248,156,8,Yes,83,13,,,,,,,,,,,,,96,6,2.16
A9102306,ALL SAINTS ACADEMY,2,13,295 N CLINTON ST,BREESE,IL,62230,CLINTON,6185264323,176,7,Yes,41,33,35,17,23,17,27,28,34,26,,,,,281,21.9,10.95
